0,4,2,0,0
1,0,0,0,0
0,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,1,0,0,0
9,9,6,6,9
9,9,9,9,9
7,2,6,4,7
5,0,4,0,5
4,0,3,2,3
3,0,3,0,4
3,4,4,0,4
1,0,1,0,2
7,6,4,10,5
20,10,12,5,20
9,9,7,0,0
1,9,0,0,0
6,6,0,0,0
3,5,6,8,0
4,8,0,0,0
1,4,6,9,0
3,3,1,7,1
10,9,5,4,1
2,1,4,1,1
7,1,0,0,0
16,12,17,18,12
7,2,0,0,0
0,0,3,0,0
6,2,0,0,0
5,0,5,0,7
1,0,0,0,7
1,0,2,1,1
14,13,10,15,14
5,6,0,0,3
17,16,16,18,17
14,0,3,5,8
1,1,0,0,0
7,3,5,8,1
10,11,18,12,9
2,0,0,0,0
7,5,7,8,5
4,4,8,4,10
13,16,13,10,12
7,11,8,8,10
4,6,10,8,8
8,11,8,6,9
15,13,15,12,15
6,7,8,6,5
19,17,19,20,17
14,14,12,16,10
12,10,13,6,10
