6,2,1,1,0,1
2,3,0,3,1,0
9,3,1,0,0,0
5,2,1,1,1,1
3,0,0,0,0,0
4,0,0,0,0,0
0,4,0,4,0,0
8,3,1,1,0,0
0,0,0,0,0,5
2,0,0,0,2,2
4,0,4,0,2,0
3,3,1,3,0,0
11,5,0,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
6,0,2,0,0,0
0,1,1,0,0,0
0,0,0,0,0,1
30,0,0,0,0,0
30,0,0,0,0,0
3,2,0,0,0,0
18,2,1,0,0,0
15,4,1,0,0,0
14,3,0,0,0,0
13,2,0,1,0,0
12,2,1,0,0,0
16,3,0,1,0,0
8,4,2,0,0,0
11,5,2,0,0,0
12,3,2,0,0,0
10,3,0,0,0,0
11,3,1,0,0,0
15,1,1,0,0,0
7,3,1,2,0,0
13,2,1,1,1,0
15,3,0,0,0,1
6,7,1,0,0,0
17,2,1,0,0,0
13,3,1,1,0,0
13,3,2,0,0,0
12,5,1,1,0,0
12,1,3,0,0,0
14,3,1,0,0,0
16,1,1,1,0,0
10,4,2,1,0,0
15,1,1,0,0,0
5,0,0,0,3,0
7,0,2,0,0,0
13,2,2,0,0,0
9,3,2,0,1,0
11,6,2,0,0,0
13,4,2,0,0,0
13,1,2,0,0,0
11,2,3,0,0,0
